DW_LOCALIDADE;address_number;region_code;division;customer_address_1;city;country;state;region_name;division_name
68788fc5e01cef37c746030c8b36d79dec4f961eefb6b5de85aceba5de54d0a7;10027583;4;2;Attention: Charlene Hoyer;Morton;US;IL;Central;Domestic
2c7dbed2194fb0d3d86c5ef355bde99adaa29e001c710fdf9dd999bd2d981158;10004602;5;1;nao informado;nao informado;nao informado;nao informado;International;International
1dfe3cd81c7e8dffe912a3e0eb90f14e8f289f8fd6e43912a99228751bc3849c;10025495;2;2;PO Box 100603;Birmingham;US;AL;Southern;Domestic
5f23d19db6cad569e063599e6e1e958fbb8423f7c9977f3b5438c44431a7e3e5;10014546;1;2;Division of Western Truck Sales Inc;Phoenix;US;AZ;Western;Domestic
3f8a7b210565dd8b2788ea7023a4cf0d212e191cac3ee4ac49d9cbff8538be4b;10002709;1;2;PO Box 99;Albany;US;OR;Western;Domestic
e85e2af8e44fa233bf96e728c785149d0fe719ead1be25bab522836eea9d760e;10002489;2;2;PO Box 266;Villa Rica;US;GA;Southern;Domestic
66d9a19417a845162ed30ecf6c8904b11a997491a63948ce0f72bdb9996d127e;10006037;2;2;7225 NW 25th Street;Miami;US;FL;Southern;Domestic
c231ea94337cdba1b7f05d2a6fcf1939e2db31495b2b5de538356467e97a5479;10014804;2;2;Attention: Ann Borden;Shreveport;US;LA;Southern;Domestic
f6f37720c61d64dfa66778bc9c43882ee82fc3df9873980ea04018651f55aa7f;10009885;0;1;PO Box 7100;Winnipeg;CA;MB;Canada;International
e7dc4b93ea6455fc8bd19072cf3b921a203df40004cf3581de98d7f1b33b2360;10013572;5;1;nao informado;nao informado;nao informado;nao informado;International;International
e12d69b08fe08842e14b67803ca27da6cefe9df659b185967fafddb00f0eb855;10012600;5;1;nao informado;nao informado;nao informado;nao informado;International;International
ff49eb6eed5a3242a89c81d7e21a562e87144c3c80988068adc210138aee7fb9;10027119;5;1;nao informado;nao informado;UK;nao informado;International;International
faaacf97b339aaa4ab97b54c6f786694d2e970e29c97ba82bce72b6dc9702c6a;10024524;4;2;PO Box 511;New Hampton;US;IA;Central;Domestic
af8d26878d16e95b94997a4c300d857c3966ab5f8a1126cd8f75326c71052469;10009662;3;2;610 Garfield Avenue;West Point;US;PA;Northeast;Domestic
564b7ab84c3e2dfb122908bff2843df2b30d63a4b5a0d2d6f2e1d9dff435f8a4;10024924;5;1;nao informado;nao informado;nao informado;nao informado;International;International
f44c20c59293ab1d4a57f0b9face9215f46a1a2a23012b320ce495ed21305ce2;10000455;1;2;7392 Count Circle;Huntington Beach;US;CA;Western;Domestic
12625605ef56b36a2fc91a458c2309aaec4f71c75a5037ca18dd9ba4c5584df4;10017828;1;2;PO Box 762;Cypress;US;CA;Western;Domestic
43a77684f190928b31301e96860ad6480ccb61bc111d109b3dac90e1138147b1;10015495;4;2;Attention:  Accounts Payable;Kansas City;US;KS;Central;Domestic
9e5205a54876ec8e5051f886f37ba317182c9e3fdad2d7b9af642ce345ec5e4b;10013899;5;1;nao informado;nao informado;nao informado;nao informado;International;International
8cfd2540b4f89d6941963361e8401cd06a2a6716674189d7329ed5011924e0ac;10015886;5;1;nao informado;nao informado;nao informado;nao informado;International;International
4ae87378ca6f36190ba53f5f1bc9d074da70dae45183417648f292d970141fd8;10013332;5;1;nao informado;nao informado;nao informado;nao informado;International;International
8fb3a4c4cc0e85016f2125462fcb4a76b683fabdfb965d4c07ef3e4650302282;10025242;5;1;Parts Division;Seoul;AU;nao informado;International;International
7de7757ca55e24531c3bdef247c8884948d55d70dc1c5e8db9373b62c2a9a193;10021222;1;2;14296 South Pony Express Road;Buffdale;US;UT;Western;Domestic
1e8a55e3581ea542306d8a4a3298038183bd52fa628aac5193b15ede776d6a98;10015275;4;2;1601 East 29th Street;Marshfield;US;WI;Central;Domestic
77cfcd0ea82f681dd8aa837a45d6fc8384a4024b1c614049031b67094dfc26bf;10023785;4;2;Defense Const. Supply Center;Columbus;US;OH;Central;Domestic
af41a1f4c58b416db1271f56161290329b677bca4f0e4a27fb000511bd63143e;10017638;3;2;Advance Auto Parts;Roanoke;US;VA;Northeast;Domestic
c95d70f0872ef0d95eb88c27b9c2dec9df1bec648c7da4cab73a981dab6b9c9a;10005922;5;1;nao informado;nao informado;nao informado;nao informado;International;International
1562ba6b40dc0b7f8a94d0926698aecbe851c7bb9e54757399e1422e54408b32;10025353;5;1;nao informado;nao informado;nao informado;nao informado;International;International
77cfc764194d4c973fb14db66a3a6a3320684d729181ab58d656287a6bc28d6e;10013039;5;1;nao informado;nao informado;nao informado;nao informado;International;International
380a6c75d7c28a16b8f1b0f6604ac823f8dea779adbd0de656d3c9364e7af9a0;10025243;2;2;PO Box 5308;Longview;US;TX;Southern;Domestic
883ab476e7f666a910ed7bb7c6257563e289ee22afffa5fa054a4c77753634e6;10019512;5;1;nao informado;nao informado;nao informado;nao informado;International;International
c8df1e9e4c18d95a8936bf756f642896d40c1278cd19ccf3c47d7f004ef3d2f8;10002144;5;1;nao informado;nao informado;nao informado;nao informado;International;International
85e0547942e92ea378f88798cef90634f41e80cf096c9350cd17d6931b92626b;10023244;2;2;PO Box 899;Cleveland;US;MS;Southern;Domestic
042a7c71be6148d3bb53658e2d6da43baf0476905ac8f20b88219d8c397aec0e;10004256;1;2;PO Box 20505;Portland;US;OR;Western;Domestic
069c234f22cf28e7d62ef16085245d30d2d1f2162bff6beb6bd5e1bc1932ff5d;10023275;1;2;PO Box 30659;Portland;US;OR;Western;Domestic
4db7c50610e250dc9b5661e23fdbfcb28802cca8237dddc6f17aef3b2c56bda7;10025552;4;2;Order Processing Group;Southfield;US;MI;Central;Domestic
ebbd902677a12e449f1722ecbd1b1f274aa0f5b7f729cd82de418305909ba798;10019514;5;1;nao informado;nao informado;nao informado;nao informado;International;International
2d71dbc9069cfa76f240b4e4451329dd6f6a417a7df792dbfd82c962e84105da;10020332;5;1;nao informado;nao informado;nao informado;nao informado;International;International
e083e4e1a8144dd72c4e8f883abc0b5071dc65053bba0545801b8e2c425f831d;10016113;5;1;nao informado;nao informado;nao informado;nao informado;International;International
bcf855646dfa909b5bfdc501083507cea61ec5fa3bbdfdf730fa9e7124f68094;10009652;0;1;550 Du Parc Boulevard;Valcourt;CA;QU;Canada;International
bc6b4efe7281c7bb44df36857d2ca56e682e590cdbfb31462a50a8a969487dea;10005861;5;1;nao informado;nao informado;nao informado;nao informado;International;International
316c02eec3028925d9701646f529e18e06432fd68feb6d3289a17387d8db7bde;10009356;4;2;Global Motorsport Parts Inc;Cape Girardeau;US;MO;Central;Domestic
32826a6f59cb7c4d830b6ad0cf4e0c64c8be09ea05c9b7ca27a4af778424531c;10000474;4;2;PO Box 3265;Des Moines;US;IA;Central;Domestic
d5fbadaf4604d3565e8464a3773bd9128549926d9fe1d83d328ded43e68f9981;10022168;4;2;PO Box 113;Cass City;US;MI;Central;Domestic
d0519d25cfa4f9eeabac5ce1e45963ed4029ba9f756a0cc862347d16ba1c109a;10002240;3;2;50 Mystic Avenue;Medford;US;MA;Northeast;Domestic
f0709b5696b72cdca350e2c2d47577ed2d55687cbc25efdc3475257e6bb4d590;10026868;5;1;Aut Reg Del Centro Valencia;Valencia;UK;nao informado;International;International
a3962eea99f33db6d15bcc52b6f4f602ab543c843115c02640d8633c94fbd563;10023780;5;1;Av Eusebio Ayala 3321;Asuncion;UK;nao informado;International;International
33e286e8913b4e2711977e748901ddc8e9e24749d0a58d1df8ef01d00bacca0d;10026581;2;2;PO Box 22249;Savannah;US;GA;Southern;Domestic
35b1f80c4502a56bc37ba91a1e121dd0ea724b7e2a00b16963df5bdd7e1872b6;10023022;0;1;18412 96 Avenue;Surrey;CA;BC;Canada;International
c051ffe340477dc149ed639c5cbce9848065160105ee501b83939da58fcd5531;10025238;1;2;4567 Federal Boulevard;San Diego;US;CA;Western;Domestic
148eab2b8adf45f236b1073489ad770960e8a50f536f86997a7d9c178d986d3f;10023760;3;2;60 Lafayette Road;North Hampton;US;NH;Northeast;Domestic
f581e4966e646ba08d704889e6e3ef325df598a05ffedc5c75b9fe2ec24e93e0;10013011;5;1;Vagnhofda 23;112 Reyjavik;AU;nao informado;International;International
ea7e1f685120c29c3c8d92b54d360f08ab44f3db2633e4981675515fe5345e23;10025034;1;2;395 Smitty Way;Corona;US;CA;Western;Domestic
4ad780783e1e58446605071c40f09607bf22b0c82e3207d201d3e8a53622f1f3;10023513;1;2;640 N Eldorado Street;Stockton;US;CA;Western;Domestic
03b628bb4cc6e7ec14152cf95b511a43a618c05e32e38ea455709b2987618bd0;10000456;0;1;8151 Wagner Road;Edmonton;CA;AB;Canada;International
7b6781383d0b07da98767b33504d5a3dbb7ad2eabe09d904d3150766b9c6dd54;10011360;5;1;nao informado;nao informado;nao informado;nao informado;International;International
f0126ac58970f968d58d077dab6865bb4e845d7dd092445f74d245e97e1d86d5;10025285;2;2;2401 East 31st Street;Chattanooga;US;TN;Southern;Domestic
12de6c82ccbd3fbac7ea745ad58192ab69fc40b945d372c240b1be020a49b6b7;10022746;5;1;Landstrasse 18;A 5102 Anthering;UK;nao informado;International;International
8c52c981c02231344ec5f3823f570b70203777c9ff0a03a1d55dbe93e77b6775;10011052;5;1;nao informado;nao informado;nao informado;nao informado;International;International
9a304a456a5015bd4a9be0cdf1f79336be2eb7ec6d533df5a087681715633f95;10024880;5;1;nao informado;nao informado;nao informado;nao informado;International;International
1cf58789e55e4aac7db280ea717c9a0c1ff33ddb1114ac2dc55978929d2092d9;10006919;5;1;nao informado;nao informado;nao informado;nao informado;International;International
94a84742cd009615bb1a4d2c3d7d65d470cf2deb2b360a423c4fd878507d5fe8;10026843;1;2;100 East Inyo;Tulare;US;CA;Western;Domestic
3ac660ea0bae3be8cc6c2c205f6c2fd208480d9037d8457fc5cf7896a9002843;10006093;4;2;PO Box 5364;Evansville;US;IN;Central;Domestic
fb69aeb8838cbd4e2176e4d9145d3d68ee7cfe17b811396bb01b03dec8fd241a;10024541;4;2;Americas Body Company;Bedford;US;OH;Central;Domestic
da768ac9f5ecf167cf0172e92986a75cecffe49bacb5d071148b443dede9171e;10021472;0;1;9475 192 Street;Surrey;CA;BC;Canada;International
8397530133e23cc0953822937f427402c30134fa91126fa306eca25b1968225e;10010882;5;1;nao informado;nao informado;nao informado;nao informado;International;International
c7a8b18f0b3aa9311b324501f99022bdae23d36c725f881aa60b86db0b43b458;10013341;5;1;nao informado;nao informado;nao informado;nao informado;International;International
6c54406acc8f68cb93d3ad6db70308f701d8aa1adb06c30f3c300e491aa1e132;10023538;2;2;Attention: Accounts Payable;Fort Worth;US;TX;Southern;Domestic
4a8587f345acbcb6b7c4df6bb75220af416a0f2bf5facc1276c1e77644d8520d;10023524;2;2;PO Box 1006;Clemson;US;SC;Southern;Domestic
51166eda588d919156722a47b9f64653c2ebe0fafd455c702858a5fb460a15f9;10021160;5;1;nao informado;nao informado;nao informado;nao informado;International;International
857b67a073b5e008043afb8771082731df08dea893db5e037ac04d73de5b893b;10012235;0;1;PO Box 1005;Winnipeg;CA;MB;Canada;International
b1f0cb59c1e374d56058a8eb55443bf58e077aa047bd3198c66e7daa80830413;10015030;1;2;2192 Viking Drive;Anchorage;US;AK;Western;Domestic
026daa43b8104e00307ebe69ce71b57cefecfc8bccaa539c8e308c9cf30afe58;10016334;4;2;Attention Accounts Payable Department;Overland Park;US;KS;Central;Domestic
4de93cc415f704dc30c4c06b69d809922fc1eeb3a6ef2d9aa324b6f4d4656aa1;10014495;1;2;12900 SE Capps Road;Clackamas;US;OR;Western;Domestic
bf01e7520fa278ddc36f3efced231eef8db3056b9159a077846a4d9c6d708b12;10017576;2;2;PO Box 10455;New Orleans;US;LA;Southern;Domestic
